infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
acheter,to buy,FALSE,achète,achètes,achète,achetons,achetez,achètent,ai acheté,as acheté,a acheté,avons acheté,avez acheté,ont acheté,achetais,achetais,achetait,achetions,achetiez,achetaient,achèterai,achèteras,achètera,achèterons,achèterez,achèteront,achèterais,achèterais,achèterait,achèterions,achèteriez,avais acheté,avais acheté,avait acheté,avions acheté,aviez acheté,avaient acheté,achèteraient,achète,achètes,achète,achetions,achetiez,achètent,aurais acheté,aurais acheté,aurait acheté,aurions acheté,auriez acheté,auraient acheté,aurai acheté,auras acheté,aura acheté,aurons acheté,aurez acheté,auront acheté,N/A,achète,N/A,achetons,achetez,N/A,aie acheté,aies acheté,ait acheté,ayons acheté,ayez acheté,aient acheté,achetasse,achetasses,achetât,achetassions,achetassiez,achetassent,eusse acheté,eusses acheté,eût acheté,eussions acheté,eussiez acheté,eussent acheté,N/A,aie acheté,N/A,ayons acheté,ayez acheté,N/A,eus acheté,eus acheté,eut acheté,eûmes acheté,eûtes acheté,eurent acheté,achetai,achetas,acheta,achetâmes,achetâtes,achetèrent,achetant
aider,to help,FALSE,aide,aides,aide,aidons,aidez,aident,ai aidé,as aidé,a aidé,avons aidé,avez aidé,ont aidé,aidais,aidais,aidait,aidions,aidiez,aidaient,aiderai,aideras,aidera,aiderons,aiderez,aideront,aiderais,aiderais,aiderait,aiderions,aideriez,avais aidé,avais aidé,avait aidé,avions aidé,aviez aidé,avaient aidé,aideraient,aide,aides,aide,aidions,aidiez,aident,aurais aidé,aurais aidé,aurait aidé,aurions aidé,auriez aidé,auraient aidé,aurai aidé,auras aidé,aura aidé,aurons aidé,aurez aidé,auront aidé,N/A,aide,N/A,aidons,aidez,N/A,aie aidé,aies aidé,ait aidé,ayons aidé,ayez aidé,aient aidé,aidasse,aidasses,aidât,aidassions,aidassiez,aidassent,eusse aidé,eusses aidé,eût aidé,eussions aidé,eussiez aidé,eussent aidé,N/A,aie aidé,N/A,ayons aidé,ayez aidé,N/A,eus aidé,eus aidé,eut aidé,eûmes aidé,eûtes aidé,eurent aidé,aidai,aidas,aida,aidâmes,aidâtes,aidèrent,aidant
acquérir,to acquire,TRUE,acquiers,acquiers,acquiert,acquérons,acquérez,acquièrent,ai acquis,as acquis,a acquis,avons acquis,avez acquis,ont acquis,acquérais,acquérais,acquérait,acquérions,acquériez,acquéraient,acquerrai,acquerras,acquerra,acquerrons,acquerrez,acquerront,acquerrais,acquerrais,acquerrait,acquerrions,acquerriez,avais acquis,avais acquis,avait acquis,avions acquis,aviez acquis,avaient acquis,acquerraient,acquière,acquières,acquière,acquérions,acquériez,acquièrent,aurais acquis,aurais acquis,aurait acquis,aurions acquis,auriez acquis,auraient acquis,aurai acquis,auras acquis,aura acquis,aurons acquis,aurez acquis,auront acquis,N/A,acquiers,N/A,acquérons,acquérez,N/A,aie acquis,aies acquis,ait acquis,ayons acquis,ayez acquis,aient acquis,acquisse,acquisses,acquît,acquissions,acquissiez,acquissent,eusse acquis,eusses acquis,eût acquis,eussions acquis,eussiez acquis,eussent acquis,N/A,aie acquis,N/A,ayons acquis,ayez acquis,N/A,eus acquis,eus acquis,eut acquis,eûmes acquis,eûtes acquis,eurent acquis,acquis,acquis,acquit,acquîmes,acquîtes,acquirent,acquérant
absoudre,to absolve,TRUE,absous,absous,absout,absolvons,absolvez,absolvent,ai absous;absout,as absous;absout,a absous;absout,avons absous;absout,avez absous;absout,ont absous;absout,absolvais,absolvais,absolvait,absolvions,absolviez,absolvaient,absoudrai,absoudras,absoudra,absoudrons,absoudrez,absoudront,absoudrais,absoudrais,absoudrait,absoudrions,absoudriez,avais absous;absout,avais absous;absout,avait absous;absout,avions absous;absout,aviez absous;absout,avaient absous;absout,absoudraient,absolve,absolves,absolve,absolvions,absolviez,absolvent,aurais absous;absout,aurais absous;absout,aurait absous;absout,aurions absous;absout,auriez absous;absout,auraient absous;absout,aurai absous;absout,auras absous;absout,aura absous;absout,aurons absous;absout,aurez absous;absout,auront absous;absout,N/A,absous,N/A,absolvons,absolvez,N/A,aie absous;absout,aies absous;absout,ait absous;absout,ayons absous;absout,ayez absous;absout,aient absous;absout,N/A,N/A,N/A,N/A,N/A,N/A,eusse absous;absout,eusses absous;absout,eût absous;absout,eussions absous;absout,eussiez absous;absout,eussent absous;absout,N/A,aie absous;absout,N/A,ayons absous;absout,ayez absous;absout,N/A,eus absous;absout,eus absous;absout,eut absous;absout,eûmes absous;absout,eûtes absous;absout,eurent absous;absout,N/A,N/A,N/A,N/A,N/A,N/A,absolvant
accepter,to accept,FALSE,accepte,acceptes,accepte,acceptons,acceptez,acceptent,ai accepté,as accepté,a accepté,avons accepté,avez accepté,ont accepté,acceptais,acceptais,acceptait,acceptions,acceptiez,acceptaient,accepterai,accepteras,acceptera,accepterons,accepterez,accepteront,accepterais,accepterais,accepterait,accepterions,accepteriez,avais accepté,avais accepté,avait accepté,avions accepté,aviez accepté,avaient accepté,accepteraient,accepte,acceptes,accepte,acceptions,acceptiez,acceptent,aurais accepté,aurais accepté,aurait accepté,aurions accepté,auriez accepté,auraient accepté,aurai accepté,auras accepté,aura accepté,aurons accepté,aurez accepté,auront accepté,N/A,accepte,N/A,acceptons,acceptez,N/A,aie accepté,aies accepté,ait accepté,ayons accepté,ayez accepté,aient accepté,acceptasse,acceptasses,acceptât,acceptassions,acceptassiez,acceptassent,eusse accepté,eusses accepté,eût accepté,eussions accepté,eussiez accepté,eussent accepté,N/A,aie accepté,N/A,ayons accepté,ayez accepté,N/A,eus accepté,eus accepté,eut accepté,eûmes accepté,eûtes accepté,eurent accepté,acceptai,acceptas,accepta,acceptâmes,acceptâtes,acceptèrent,acceptant
accourir,to hurry,TRUE,accours,accours,accourt,accourons,accourez,accourent,ai accouru,as accouru,a accouru,avons accouru,avez accouru,ont accouru,accourais,accourais,accourait,accourions,accouriez,accouraient,accourrai,accourras,accourra,accourrons,accourrez,accourront,accourrais,accourrais,accourrait,accourrions,accourriez,avais accouru,avais accouru,avait accouru,avions accouru,aviez accouru,avaient accouru,accourraient,accoure,accoures,accoure,accourions,accouriez,accourent,aurais accouru,aurais accouru,aurait accouru,aurions accouru,auriez accouru,auraient accouru,aurai accouru,auras accouru,aura accouru,aurons accouru,aurez accouru,auront accouru,N/A,accours,N/A,accourons,accourez,N/A,aie accouru,aies accouru,ait accouru,ayons accouru,ayez accouru,aient accouru,accourusse,accourusses,accourût,accourussions,accourussiez,accourussent,eusse accouru,eusses accouru,eût accouru,eussions accouru,eussiez accouru,eussent accouru,N/A,aie accouru,N/A,ayons accouru,ayez accouru,N/A,eus accouru,eus accouru,eut accouru,eûmes accouru,eûtes accouru,eurent accouru,accourus,accourus,accourut,accourûmes,accourûtes,accoururent,accourant
admettre,to admit,TRUE,admets,admets,admet,admettons,admettez,admettent,ai admis,as admis,a admis,avons admis,avez admis,ont admis,admettais,admettais,admettait,admettions,admettiez,admettaient,admettrai,admettras,admettra,admettrons,admettrez,admettront,admettrais,admettrais,admettrait,admettrions,admettriez,avais admis,avais admis,avait admis,avions admis,aviez admis,avaient admis,admettraient,admette,admettes,admette,admettions,admettiez,admettent,aurais admis,aurais admis,aurait admis,aurions admis,auriez admis,auraient admis,aurai admis,auras admis,aura admis,aurons admis,aurez admis,auront admis,N/A,admets,N/A,admettons,admettez,N/A,aie admis,aies admis,ait admis,ayons admis,ayez admis,aient admis,admisse,admisses,admît,admissions,admissiez,admissent,eusse admis,eusses admis,eût admis,eussions admis,eussiez admis,eussent admis,N/A,aie admis,N/A,ayons admis,ayez admis,N/A,eus admis,eus admis,eut admis,eûmes admis,eûtes admis,eurent admis,admis,admis,admit,admîmes,admîtes,admirent,admettant
abaisser,to lower,FALSE,abaisse,abaisses,abaisse,abaissons,abaissez,abaissent,ai abaissé,as abaissé,a abaissé,avons abaissé,avez abaissé,ont abaissé,abaissais,abaissais,abaissait,abaissions,abaissiez,abaissaient,abaisserai,abaisseras,abaissera,abaisserons,abaisserez,abaisseront,abaisserais,abaisserais,abaisserait,abaisserions,abaisseriez,avais abaissé,avais abaissé,avait abaissé,avions abaissé,aviez abaissé,avaient abaissé,abaisseraient,abaisse,abaisses,abaisse,abaissions,abaissiez,abaissent,aurais abaissé,aurais abaissé,aurait abaissé,aurions abaissé,auriez abaissé,auraient abaissé,aurai abaissé,auras abaissé,aura abaissé,aurons abaissé,aurez abaissé,auront abaissé,N/A,abaisse,N/A,abaissons,abaissez,N/A,aie abaissé,aies abaissé,ait abaissé,ayons abaissé,ayez abaissé,aient abaissé,abaissasse,abaissasses,abaissât,abaissassions,abaissassiez,abaissassent,eusse abaissé,eusses abaissé,eût abaissé,eussions abaissé,eussiez abaissé,eussent abaissé,N/A,aie abaissé,N/A,ayons abaissé,ayez abaissé,N/A,eus abaissé,eus abaissé,eut abaissé,eûmes abaissé,eûtes abaissé,eurent abaissé,abaissai,abaissas,abaissa,abaissâmes,abaissâtes,abaissèrent,abaissant
accueillir,to welcome,TRUE,accueille,accueilles,accueille,accueillons,accueillez,accueillent,ai accueilli,as accueilli,a accueilli,avons accueilli,avez accueilli,ont accueilli,accueillais,accueillais,accueillait,accueillions,accueilliez,accueillaient,accueillerai,accueilleras,accueillera,accueillerons,accueillerez,accueilleront,accueillerais,accueillerais,accueillerait,accueillerions,accueilleriez,avais accueilli,avais accueilli,avait accueilli,avions accueilli,aviez accueilli,avaient accueilli,accueilleraient,accueille,accueilles,accueille,accueillions,accueilliez,accueillent,aurais accueilli,aurais accueilli,aurait accueilli,aurions accueilli,auriez accueilli,auraient accueilli,aurai accueilli,auras accueilli,aura accueilli,aurons accueilli,aurez accueilli,auront accueilli,N/A,accueille,N/A,accueillons,accueillez,N/A,aie accueilli,aies accueilli,ait accueilli,ayons accueilli,ayez accueilli,aient accueilli,accueillisse,accueillisses,accueillît,accueillissions,accueillissiez,accueillissent,eusse accueilli,eusses accueilli,eût accueilli,eussions accueilli,eussiez accueilli,eussent accueilli,N/A,aie accueilli,N/A,ayons accueilli,ayez accueilli,N/A,eus accueilli,eus accueilli,eut accueilli,eûmes accueilli,eûtes accueilli,eurent accueilli,accueillis,accueillis,accueillit,accueillîmes,accueillîtes,accueillirent,accueillant
accuser,to accuse/acknowledge,FALSE,accuse,accuses,accuse,accusons,accusez,accusent,ai accusé,as accusé,a accusé,avons accusé,avez accusé,ont accusé,accusais,accusais,accusait,accusions,accusiez,accusaient,accuserai,accuseras,accusera,accuserons,accuserez,accuseront,accuserais,accuserais,accuserait,accuserions,accuseriez,avais accusé,avais accusé,avait accusé,avions accusé,aviez accusé,avaient accusé,accuseraient,accuse,accuses,accuse,accusions,accusiez,accusent,aurais accusé,aurais accusé,aurait accusé,aurions accusé,auriez accusé,auraient accusé,aurai accusé,auras accusé,aura accusé,aurons accusé,aurez accusé,auront accusé,N/A,accuse,N/A,accusons,accusez,N/A,aie accusé,aies accusé,ait accusé,ayons accusé,ayez accusé,aient accusé,accusasse,accusasses,accusât,accusassions,accusassiez,accusassent,eusse accusé,eusses accusé,eût accusé,eussions accusé,eussiez accusé,eussent accusé,N/A,aie accusé,N/A,ayons accusé,ayez accusé,N/A,eus accusé,eus accusé,eut accusé,eûmes accusé,eûtes accusé,eurent accusé,accusai,accusas,accusa,accusâmes,accusâtes,accusèrent,accusant
