advantages,avantages
animals,animaux
campaign,campagne
charity,organisation charitable/charité/organisme de bienfaisance
climate (adjective),climatique
coal,charbon
country,pays
disadvantages,désavantages
disaster,désastre/catastrophe
drinking water,eau potable
drought,sécheresse
earth,terre
earthquake,tremblement de terre
electricity,électricité
energy/power,énergie
environment,environnement
fair trade,commerce équitable
flood/flooding,innondation
against,contre
for,pour
fresh water,eau douce
gas,gaz
global warming,réchauffement de la terre
global/world wide,mondiale
hunger/famine,faim/famine
hurricane,ouragan
instant,instantané
international,international
lack of,manque de
malnourished,mal nourri
music festival,festival de musique
natural resources,ressources naturelles
oil,pétrole
Olympic games,jeux olympiques
people,gens
planet,planète
pollution,pollution
poverty,pauvreté
protection,protection
rainforest,forêt tropicale
recycling,recyclage
rights of man/peoples’ rights,droits de l’homme
rubbish,ordures
salt water,eau salée
security,sécurité
solar power,énergie solaire
species,espèces
sports event,rencontre sportive
spying,espionnage
starving,affamé
unfortunate/needy,malheureux/malheureuse
volcano,volcan
war,guerre
world,monde
world cup,coupe du monde
